TXT_ISSN_P,TXT_ISSN_E,TXT_ISSN_L,NME_REVISTA_IN,NRO_ANO,ID_CLAS_REV,DEP_REV_IN,MUN_REV_IN,NME_ESPECIALIDAD,NME_AREA,NME_GRAN_AREA,NME_INST_EDIT_1,TIPO_INS_N2_E1,TIPO_INS_N3_E1
0123-4676,,,Fronteras De La Historia,2005,B,No disponible,No disponible,Historia,Historia y Arqueología,Humanidades,INSTITUTO COLOMBIANO DE ANTROPOLOGIA E HISTORIA ICANH,Nacional,Público
0120-4874,2357-6308,,Medicina Upb,2014,B,Antioquia,Medellín,No registra,Ciencias de la Salud,Ciencias Médicas y de la Salud,UNIVERSIDAD PONTIFICIA BOLIVARIANA,Universidades,Privado
2215-7727,,,Cuadernos De Desarrollo Rural,2020,B,"Bogotá, D. C.","Bogotá, D.C.",No registra,Sociología,Ciencias Sociales,PONTIFICIA UNIVERSIDAD JAVERIANA,Universidades,Privado
2027-8284,20278284,,Ingenieria Y Competitividad,2016,C,Valle del Cauca,Cali,Otras Ingenierías y Tecnologías,Otras Ingenierías y Tecnologías,Ingeniería y Tecnología,UNIVERSIDAD DEL VALLE,Universidades,Público
0120-5609,2248-8723,,Ingeniería E Investigación,2004,C,"Bogotá, D. C.","Bogotá, D.C.",Ingeniería Civil,Ingeniería Civil,Ingeniería y Tecnología,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
1692-2530,,,Opinión Jurídica,2018,C,Antioquia,Medellín,No registra,Derecho,Ciencias Sociales,UNIVERSIDAD DE MEDELLIN,Universidades,Privado
0122-6517,2382-4700,,Inge-Cuc,2016,C,Atlántico,Barranquilla,Otras Ingenierías y Tecnologías,Otras Ingenierías y Tecnologías,Ingeniería y Tecnología,CORPORACION UNIVERSIDAD DE LA COSTA,Universidades,Privado
0120-3886,,,Revista Facultad De Derecho Y Ciencias Políticas,2015,B,Antioquia,Medellín,Derecho,Derecho,Ciencias Sociales,UNIVERSIDAD PONTIFICIA BOLIVARIANA,Universidades,Privado
2216-0159,2462-8603,,Praxis & Saber,2015,A2,Boyacá,Tunja,"Educación General (Incluye Capacitación, Pedagogía)",Ciencias de la Educación,Ciencias Sociales,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA,Universidades,Público
0123-3068,,,Boletín Científico Del Museo De Historia Natural,2017,A2,Caldas,Manizales,"Zoología, Ornitología, Entomología, Ciencias Biológicas del Comportamiento",Ciencias Biológicas,Ciencias Naturales,UNIVERSIDAD DE CALDAS,Universidades,Público
0120-3053,,,Apuntes Del Cenes,2019,B,Boyacá,Tunja,Economía,Economía y Negocios,Ciencias Sociales,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA,Universidades,Público
1900-5407,2011-4273,,Antípoda : Revista De Antropología Y Arqueología,2016,A2,"Bogotá, D. C.","Bogotá, D.C.",Antropología,Sociología,Ciencias Sociales,UNIVERSIDAD DE LOS ANDES,Universidades,Privado
0034-7426,,,Revista Colombiana De Matemáticas,2019,C,"Bogotá, D. C.","Bogotá, D.C.",Matemáticas Puras,Matemática,Ciencias Naturales,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
0124-0579,,,Estudios Socio-Jurídicos,2020,B,"Bogotá, D. C.","Bogotá, D.C.",Derecho,Derecho,Ciencias Sociales,COLEGIO MAYOR NUESTRA SENORA DEL ROSARIO,Universidades,Privado
1692-1399,,,Revista De Tecnología,2015,C,"Bogotá, D. C.","Bogotá, D.C.",Ingeniería de Producción,Otras Ingenierías y Tecnologías,Ingeniería y Tecnología,UNIVERSIDAD EL BOSQUE,Universidades,Privado
1657-0448,,,Revista De La Asociación Colombiana De Dermatología Y Cirugía Dermatológica,2016,C,"Bogotá, D. C.","Bogotá, D.C.",Otros Temas de Medicina Clínica,Medicina Clínica,Ciencias Médicas y de la Salud,ASOCIACION COLOMBIANA DE DERMATOLOGIA Y CIRUGIA DERMATOLOGICA,Entidades sin ánimo de lucro,Público
0120-159X,,,Revista Colombiana De Sociología,2018,C,"Bogotá, D. C.","Bogotá, D.C.","Temas Especiales (Estudios de Género, Temas Sociales, Estudios de la Familia)",Sociología,Ciencias Sociales,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
1692-3030,,,Juridicas Cuc,2015,C,Atlántico,Barranquilla,Derecho,Derecho,Ciencias Sociales,CORPORACION UNIVERSIDAD DE LA COSTA,Universidades,Privado
1692-6226,,,Temas,2010,C,Santander,Bucaramanga,Otras Ciencias Sociales,Otras Ciencias Sociales,Ciencias Sociales,UNIVERSIDAD SANTO TOMAS,Universidades,Privado
2215-910X,2017-5692,,Suma De Negocios,2019,B,"Bogotá, D. C.","Bogotá, D.C.",Negocios y Management,Economía y Negocios,Ciencias Sociales,FUNDACION UNIVERSITARIA KONRAD LORENZ,Universidades,Privado
1692-3561,1909-9959,,Biotecnología En El Sector Agropecuario Y Agroindustrial,2019,B,Cauca,Popayán,Agronomía,"Agricultura, Silvicultura y Pesca",Ciencias Agrícolas,UNIVERSIDAD DEL CAUCA,Universidades,Público
1909-2458,,,Ingeniare,2016,C,Atlántico,Barranquilla,No registra,Otras Ingenierías y Tecnologías,Ingeniería y Tecnología,UNIVERSIDAD LIBRE DE COLOMBIA,Universidades,Privado
0034-7418,1909-6356,,Revista Colombiana De Ciencias Químico Farmacéuticas,2016,A2,"Bogotá, D. C.","Bogotá, D.C.",Farmacología y Farmacia,Medicina Básica,Ciencias Médicas y de la Salud,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
1657-9267,,,Universitas Psychologica,2014,A1,No disponible,No disponible,"Psicología (Incluye Terapias de Aprendizaje, Habla, Visual y Otras Discapacidades Físicas y Mentales)",Psicología,Ciencias Sociales,PONTIFICIA UNIVERSIDAD JAVERIANA,Universidades,Privado
1692-7427,,,Revista Actividad Fisica Y Desarrollo Humano,2015,C,Norte de Santander,Pamplona,"Ciencias del Cuidado de la Salud y Servicios (Administración de Hospitales, Financiamiento)",Ciencias de la Salud,Ciencias Médicas y de la Salud,UNIVERSIDAD DE PAMPLONA,Universidades,Público
1657-0790,,,Profile,2019,B,"Bogotá, D. C.","Bogotá, D.C.",No registra,Ciencias de la Educación,Ciencias Sociales,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
1794-3841,,2422-409X,Hallazgos,2021,B,"Bogotá, D. C.","Bogotá, D.C.","Ciencias Sociales, Interdisciplinaria",Otras Ciencias Sociales,Ciencias Sociales,UNIVERSIDAD SANTO TOMAS,Universidades,Privado
1657-320X,,,Archivos De Medicina,2020,C,Caldas,Manizales,No registra,Ciencias de la Salud,Ciencias Médicas y de la Salud,UNIVERSIDAD DE MANIZALES UMANIZALES,Universidades,Privado
0122-8803,,2322-6889,Historia Caribe,2022,B,No disponible,No disponible,Historia,Historia y Arqueología,Humanidades,UNIVERSIDAD DEL ATLANTICO,Universidades,Público
0120-5633,2357-3260,,Revista Colombiana De Cardiología,2015,A2,"Bogotá, D. C.","Bogotá, D.C.","Ciencias del Cuidado de la Salud y Servicios (Administración de Hospitales, Financiamiento)",Ciencias de la Salud,Ciencias Médicas y de la Salud,SOCIEDAD COLOMBIANA DE CARDIOLOGIA,Entidades sin ánimo de lucro,Público
2344-8636,,,Ciencia e Innovación en Salud,2020,B,Atlántico,Barranquilla,No registra,Medicina Clínica,Ciencias Médicas y de la Salud,UNIVERSIDAD SIMON BOLIVAR,Universidades,Privado
2011-5318,2462-8654,,Educacion Y Desarrollo Social,2016,C,"Bogotá, D. C.","Bogotá, D.C.","Educación General (Incluye Capacitación, Pedagogía)",Ciencias de la Educación,Ciencias Sociales,UNIVERSIDAD MILITAR NUEVA GRANADA,Universidades,Público
1692-0899,,,Ingenium,2016,C,No disponible,No disponible,No registra,"Ingenierías Eléctrica, Electrónica e Informática",Ingeniería y Tecnología,UNIVERSIDAD DE SAN BUENAVENTURA CALI,Universidades,Privado
0121-7488,,2462-7658,Ciencia En Desarrollo,2022,B,Boyacá,Tunja,Otras Ciencias Naturales,Otras Ciencias Naturales,Ciencias Naturales,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA,Universidades,Público
2011-7485,,,Psicología Desde El Caribe,2021,B,No disponible,No disponible,No registra,Psicología,Ciencias Sociales,FUNDACION UNIVERSIDAD DEL NORTE,Universidades,Privado
2027-1840,,,Revista Colombiana De Ciencia Animal,2016,C,Tolima,Ibagué,Ciencias Veterinarias,Ciencias Veterinarias,Ciencias Agrícolas,UNIVERSIDAD DEL TOLIMA,Universidades,Público
,,2216-0388,MUNDO FESC,2021,B,Norte de Santander,Cúcuta,Otras Ingenierías y Tecnologías,Otras Ingenierías y Tecnologías,Ingeniería y Tecnología,FUNDACION DE ESTUDIOS SUPERIORES COMFANORTE,Instituciones Tecnológicas,Privado
0120-3886,,,Revista Facultad De Derecho Y Ciencias Políticas,2016,B,Antioquia,Medellín,Derecho,Derecho,Ciencias Sociales,UNIVERSIDAD PONTIFICIA BOLIVARIANA,Universidades,Privado
0123-4986,,,Trabajo Social,2019,C,"Bogotá, D. C.","Bogotá, D.C.",No registra,Idiomas y Literatura,Humanidades,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
,,2011-799X,Mutatis Mutandis. Revista Latinoamericana De Traducción.,2022,A2,Antioquia,Medellín,No registra,Idiomas y Literatura,Humanidades,UNIVERSIDAD DE ANTIOQUIA,Universidades,Público
2390-0725,,2422-3182,Revista CEA,2021,B,Antioquia,Medellín,Negocios y Management,Economía y Negocios,Ciencias Sociales,INSTITUTO TECNOLOGICO METROPOLITANO DE MEDELLIN,Universidades,Público
2027-4688,,2539-4711,Fronteras De La Historia,2021,A2,"Bogotá, D. C.","Bogotá, D.C.",Historia,Historia y Arqueología,Humanidades,INSTITUTO COLOMBIANO DE ANTROPOLOGIA E HISTORIA ICANH,Nacional,Público
1794-2489,,2011-2742,Tabula Rasa,2021,C,"Bogotá, D. C.","Bogotá, D.C.",No registra,Otras Ciencias Sociales,Ciencias Sociales,UNIVERSIDAD COLEGIO MAYOR DE CUNDINAMARCA,Universidades,Público
0120-4157,,,Biomédica,2006,A2,"Bogotá, D. C.","Bogotá, D.C.",Otras Ciencias Médicas,Otras Ciencias Médicas,Ciencias Médicas y de la Salud,INSTITUTO NACIONAL DE SALUD,Centros o institutos de investigación,Público
0122-9761,,,Boletín De Investigaciones Marinas Y Costeras,2007,A2,Magdalena,Santa Marta,"Oceanografía, Hidrología y Recursos del Agua",Ciencias de la Tierra y Medioambientales,Ciencias Naturales,INSTITUTO DE INVESTIGACIONES MARINAS Y COSTERAS JOSE BENITO VIVES DE ANDREIS INVEMAR,Centros o institutos de investigación,Público
0120-341X,,,Revista Universidad Eafit,2006,C,No disponible,No disponible,No registra,Otras Ciencias Sociales,Ciencias Sociales,UNIVERSIDAD EAFIT,Universidades,Privado
0124-0064,,,Revista De Salud Pública,2007,A1,No disponible,No disponible,Salud Pública,Ciencias de la Salud,Ciencias Médicas y de la Salud,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
1692-3901,,,Economía Y Desarrollo,2006,C,"Bogotá, D. C.","Bogotá, D.C.",Economía,Economía y Negocios,Ciencias Sociales,UNIVERSIDAD AUTONOMA DE COLOMBIA,Universidades,Privado
0121-3628,2256-358X,,Estudios De Filosofía,2006,B,Antioquia,Medellín,Filosofía,Otras Humanidades,Humanidades,UNIVERSIDAD DE ANTIOQUIA,Universidades,Público
0120-6230,2422-2844,,Revista Facultad De Ingeniería,2009,A1,Antioquia,Medellín,Otras Ingenierías y Tecnologías,Otras Ingenierías y Tecnologías,Ingeniería y Tecnología,UNIVERSIDAD DE ANTIOQUIA,Universidades,Público
0123-3033,,,Ingeniería Y Competitividad,2005,C,Valle del Cauca,Cali,Otras Ingenierías y Tecnologías,Otras Ingenierías y Tecnologías,Ingeniería y Tecnología,UNIVERSIDAD DEL VALLE,Universidades,Público
0120-3630,,,Boletín De Ciencias De La Tierra,2015,A2,Antioquia,Medellín,Geología,Ciencias de la Tierra y Medioambientales,Ciencias Naturales,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
0120-0690,,,Revista Colombiana De Ciencias Pecuarias,2004,B,Antioquia,Medellín,Ciencias Animales y Lechería,Ciencias Animales y Lechería,Ciencias Agrícolas,UNIVERSIDAD DE ANTIOQUIA,Universidades,Público
0120-5307,2216-0280,,Investigación Y Educación En Enfermería,2012,A2,Antioquia,Medellín,Enfermería,Ciencias de la Salud,Ciencias Médicas y de la Salud,UNIVERSIDAD DE ANTIOQUIA,Universidades,Público
0120-5552,,,Salud Uninorte,2010,A2,Atlántico,Barranquilla,No registra,Ciencias de la Salud,Ciencias Médicas y de la Salud,FUNDACION UNIVERSIDAD DEL NORTE,Universidades,Privado
0120-3649,2011-219X,,Theologica Xaveriana,2010,B,"Bogotá, D. C.","Bogotá, D.C.",Teología,Otras Humanidades,Humanidades,PONTIFICIA UNIVERSIDAD JAVERIANA,Universidades,Privado
0123-5583,2389-8674,,Actualizaciones En Enfermería,2010,C,No disponible,No disponible,No registra,Ciencias de la Salud,Ciencias Médicas y de la Salud,FUNDACION SANTA FE DE BOGOTA,Entidades sin ánimo de lucro,Privado
0120-0542,,,Boletín Científico Cioh,2007,B,Bolívar,Cartagena de Indias,"Oceanografía, Hidrología y Recursos del Agua",Ciencias de la Tierra y Medioambientales,Ciencias Naturales,CENTRO DE INVESTIGACIONES OCEANOGRAFICAS E HIDROGRAFICAS CIOH,Nacional,Público
0120-3592,,,Cuadernos De Administración,2010,A2,"Bogotá, D. C.","Bogotá, D.C.",Negocios y Management,Economía y Negocios,Ciencias Sociales,PONTIFICIA UNIVERSIDAD JAVERIANA,Universidades,Privado
0120-0062,2011-3668,,Ideas Y Valores,2005,B,"Bogotá, D. C.","Bogotá, D.C.",Otras Humanidades,Otras Humanidades,Humanidades,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
0120-6230,2422-2844,,Revista Facultad De Ingeniería,2014,A1,Antioquia,Medellín,Otras Ingenierías y Tecnologías,Otras Ingenierías y Tecnologías,Ingeniería y Tecnología,UNIVERSIDAD DE ANTIOQUIA,Universidades,Público
0120-0062,2011-3668,,Ideas Y Valores,2010,A1,"Bogotá, D. C.","Bogotá, D.C.",Otras Humanidades,Otras Humanidades,Humanidades,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
0120-5633,2357-3260,,Revista Colombiana De Cardiología,2007,A2,"Bogotá, D. C.","Bogotá, D.C.","Ciencias del Cuidado de la Salud y Servicios (Administración de Hospitales, Financiamiento)",Ciencias de la Salud,Ciencias Médicas y de la Salud,SOCIEDAD COLOMBIANA DE CARDIOLOGIA,Entidades sin ánimo de lucro,Público
0366-5232,,,Caldasia,2015,A1,"Bogotá, D. C.","Bogotá, D.C.",No registra,Ciencias Biológicas,Ciencias Naturales,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
0124-4035,,,Desafíos,2008,C,"Bogotá, D. C.","Bogotá, D.C.",Ciencias Políticas,Ciencias Políticas,Ciencias Sociales,COLEGIO MAYOR NUESTRA SENORA DEL ROSARIO,Universidades,Privado
0121-0807,2145-8464,,Salud Uis,2008,C,No disponible,No disponible,No registra,Ciencias de la Salud,Ciencias Médicas y de la Salud,UNIVERSIDAD INDUSTRIAL DE SANTANDER,Universidades,Público
0121-2494,,,Pedagogía Y Saberes,2010,B,"Bogotá, D. C.","Bogotá, D.C.","Educación General (Incluye Capacitación, Pedagogía)",Ciencias de la Educación,Ciencias Sociales,UNIVERSIDAD PEDAGOGICA NACIONAL,Universidades,Público
1692-8415,,,Revista Ciencia  Y Tecnología Para La Salud Visual Y Ocular,2010,C,"Bogotá, D. C.","Bogotá, D.C.",No registra,Ciencias de la Salud,Ciencias Médicas y de la Salud,UNIVERSIDAD DE LA SALLE,Universidades,Privado
0120-5633,2357-3260,,Revista Colombiana De Cardiología,2008,A2,"Bogotá, D. C.","Bogotá, D.C.","Ciencias del Cuidado de la Salud y Servicios (Administración de Hospitales, Financiamiento)",Ciencias de la Salud,Ciencias Médicas y de la Salud,SOCIEDAD COLOMBIANA DE CARDIOLOGIA,Entidades sin ánimo de lucro,Público
1692-7273,2145-4507,,Revista Ciencias De La Salud,2009,B,"Bogotá, D. C.","Bogotá, D.C.",No registra,Ciencias de la Salud,Ciencias Médicas y de la Salud,COLEGIO MAYOR NUESTRA SENORA DEL ROSARIO,Universidades,Privado
1692-7273,2145-4507,,Revista Ciencias De La Salud,2008,B,"Bogotá, D. C.","Bogotá, D.C.",No registra,Ciencias de la Salud,Ciencias Médicas y de la Salud,COLEGIO MAYOR NUESTRA SENORA DEL ROSARIO,Universidades,Privado
0120-2456,,,Anuario Colombiano De Historia Social,2009,C,"Bogotá, D. C.","Bogotá, D.C.",Historia,Historia y Arqueología,Humanidades,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
0120-8705,,,Revista Ces Medicina,2009,B,No disponible,No disponible,No registra,Ciencias de la Salud,Ciencias Médicas y de la Salud,UNIVERSIDAD CES,Universidades,Privado
0121-5051,,,"Innovar, Revista De Ciencias Administrativas Y Sociales",2011,A1,"Bogotá, D. C.","Bogotá, D.C.",Negocios y Management,Economía y Negocios,Ciencias Sociales,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
0124-308X,,,Revista De La Facultad Ciencias De La Salud Universidad Del Cauca,2006,C,Cauca,Popayán,"Ciencias del Cuidado de la Salud y Servicios (Administración de Hospitales, Financiamiento)",Ciencias de la Salud,Ciencias Médicas y de la Salud,UNIVERSIDAD DEL CAUCA,Universidades,Público
0124-7492,,,Ingenium,2012,C,"Bogotá, D. C.","Bogotá, D.C.",No registra,Ingeniería Civil,Ingeniería y Tecnología,UNIVERSIDAD DE SAN BUENAVENTURA CALI,Universidades,Privado
1794-4449,22563938,,Revista Lasallista De Investigación,2009,B,Antioquia,Caldas,No registra,Otras Ciencias Naturales,Ciencias Naturales,CORPORACION UNIVERSITARIA LASALLISTA,Universidades,Privado
0123-7799,,,Tecno Lógicas,2009,B,Antioquia,Medellín,Otras Ingenierías y Tecnologías,Otras Ingenierías y Tecnologías,Ingeniería y Tecnología,INSTITUTO TECNOLOGICO METROPOLITANO DE MEDELLIN,Universidades,Público
0120-3584,,,Desarrollo Y Sociedad,2007,A2,"Bogotá, D. C.","Bogotá, D.C.",Economía,Economía y Negocios,Ciencias Sociales,UNIVERSIDAD DE LOS ANDES,Universidades,Privado
1900-2351,,,Revista Politecnica,2014,B,Antioquia,Medellín,No registra,Otras Ciencias Sociales,Ciencias Sociales,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,Universidades,Público
1692-7257,,,Revista Colombiana De Tecnologías De Avanzada,2008,C,Norte de Santander,Pamplona,Ingeniería Eléctrica y Electrónica,"Ingenierías Eléctrica, Electrónica e Informática",Ingeniería y Tecnología,UNIVERSIDAD DE PAMPLONA,Universidades,Público
0121-5256,,,Revista Med,2012,A2,"Bogotá, D. C.","Bogotá, D.C.",No registra,Ciencias de la Salud,Ciencias Médicas y de la Salud,UNIVERSIDAD MILITAR NUEVA GRANADA,Universidades,Público
0121-5612,1900-6004,,Colombia Internacional,2008,A2,"Bogotá, D. C.","Bogotá, D.C.",Ciencias Políticas,Ciencias Políticas,Ciencias Sociales,UNIVERSIDAD DE LOS ANDES,Universidades,Privado
1657-4702,,,Revista Latinoamericana De Bioetica/Latinamerican Journal Of Bioethics,2008,B,"Bogotá, D. C.","Bogotá, D.C.",Filosofía,Otras Humanidades,Humanidades,UNIVERSIDAD MILITAR NUEVA GRANADA,Universidades,Público
2346-1780,,,Perseitas,2014,C,Antioquia,Medellín,Filosofía,Otras Humanidades,Humanidades,UNIVERSIDAD CATOLICA LUIS AMIGO,Universidades,Privado
1692-5106,,,Revista Ustasalud Odontología,2013,C,Santander,Bucaramanga,No registra,Ciencias de la Tierra y Medioambientales,Ciencias Naturales,UNIVERSIDAD SANTO TOMAS,Universidades,Privado
1692-5106,,,Revista Ustasalud Odontología,2011,C,Santander,Bucaramanga,No registra,Ciencias de la Tierra y Medioambientales,Ciencias Naturales,UNIVERSIDAD SANTO TOMAS,Universidades,Privado
0122-8706,2500-5308,,Revista Corpoica,2010,C,Cundinamarca,Mosquera,Otras Ciencias Agrícolas,Otras Ciencias Agrícolas,Ciencias Agrícolas,CORPORACION COLOMBIANA DE INVESTIGACION AGROPECUARIA AGROSAVIA CENTRO DE INVESTIGACION LA SELVA,Entidades sin ánimo de lucro,Privado
0120-0976,,,Revista Interamericana De Bibliotecología,2009,A2,Antioquia,Medellín,No registra,Otras Humanidades,Humanidades,UNIVERSIDAD DE ANTIOQUIA,Universidades,Público
0124-793X,,,Revista De Investigaciones Unad,2008,C,No disponible,No disponible,"Educación General (Incluye Capacitación, Pedagogía)",Ciencias de la Educación,Ciencias Sociales,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
1794-5232,,,Cultura Del Cuidado Enfermeria,2010,C,Risaralda,Pereira,Enfermería,Ciencias de la Salud,Ciencias Médicas y de la Salud,UNIVERSIDAD LIBRE DE COLOMBIA,Universidades,Privado
1657-0308,2357-626X,,Revista De Arquitectura,2008,C,"Bogotá, D. C.","Bogotá, D.C.",Arquitectura y Urbanismo,Arte,Humanidades,UNIVERSIDAD CATOLICA DE COLOMBIA,Universidades,Privado
0122-9729,,,Tendencias & Retos,2013,C,"Bogotá, D. C.","Bogotá, D.C.",No registra,Sociología,Ciencias Sociales,UNIVERSIDAD DE LA SALLE,Universidades,Privado
0121-215X,,,Cuadernos De Geografía,2014,A2,"Bogotá, D. C.","Bogotá, D.C.",Geociencias (Multidisciplinario),Ciencias de la Tierra y Medioambientales,Ciencias Naturales,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
0120-338X,,,Forma Y Función,2015,A2,"Bogotá, D. C.","Bogotá, D.C.",Lingüística,Idiomas y Literatura,Humanidades,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
2011-5318,2462-8654,,Educacion Y Desarrollo Social,2009,C,"Bogotá, D. C.","Bogotá, D.C.","Educación General (Incluye Capacitación, Pedagogía)",Ciencias de la Educación,Ciencias Sociales,UNIVERSIDAD MILITAR NUEVA GRANADA,Universidades,Público
0120-419X,,,Revista Integración,2009,C,Santander,Bucaramanga,No registra,Matemática,Ciencias Naturales,UNIVERSIDAD INDUSTRIAL DE SANTANDER,Universidades,Público
0120-4319,,,Universitas Odontologica,2013,B,"Bogotá, D. C.","Bogotá, D.C.","Odontología, Cirugía Oral y Medicina Oral",Medicina Clínica,Ciencias Médicas y de la Salud,PONTIFICIA UNIVERSIDAD JAVERIANA,Universidades,Privado
1692-5238,,,S&T : Sistemas Y Telemática,2015,C,Valle del Cauca,Cali,Ingeniería Eléctrica y Electrónica,"Ingenierías Eléctrica, Electrónica e Informática",Ingeniería y Tecnología,UNIVERSIDAD ICESI,Universidades,Privado
0123-4366,,,Revista De Derecho Privado,2011,B,"Bogotá, D. C.","Bogotá, D.C.",Derecho,Derecho,Ciencias Sociales,UNIVERSIDAD EXTERNADO DE COLOMBIA,Universidades,Privado
2011-4680,,,Impetus,2012,C,Meta,Villavicencio,No registra,Arte,Humanidades,UNIVERSIDAD DE LOS LLANOS,Universidades,Público
1900-2386,,,Psychologia. Avances De La Disciplina,2012,A2,"Bogotá, D. C.","Bogotá, D.C.","Psicología (Incluye Terapias de Aprendizaje, Habla, Visual y Otras Discapacidades Físicas y Mentales)",Psicología,Ciencias Sociales,UNIVERSIDAD DE SAN BUENAVENTURA CALI,Universidades,Privado
0122-1108,,,Pensamiento Jurídico,2014,C,"Bogotá, D. C.","Bogotá, D.C.",Derecho,Derecho,Ciencias Sociales,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
1692-1798,2339-3483,,Revista Iteckne,2013,B,Santander,Bucaramanga,No registra,Otras Ingenierías y Tecnologías,Ingeniería y Tecnología,UNIVERSIDAD SANTO TOMAS,Universidades,Privado
1692-1798,2339-3483,,Revista Iteckne,2010,C,Santander,Bucaramanga,No registra,Otras Ingenierías y Tecnologías,Ingeniería y Tecnología,UNIVERSIDAD SANTO TOMAS,Universidades,Privado
2011-8643,,,Magistro,2011,C,No disponible,No disponible,"Educación General (Incluye Capacitación, Pedagogía)",Ciencias de la Educación,Ciencias Sociales,UNIVERSIDAD SANTO TOMAS,Universidades,Privado
0121-5469,2344-8644,,Revista Colombiana De Psicología,2015,A1,"Bogotá, D. C.","Bogotá, D.C.","Psicología (Incluye Terapias de Aprendizaje, Habla, Visual y Otras Discapacidades Físicas y Mentales)",Psicología,Ciencias Sociales,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
1900-7841,,,Revista Colombiana Salud Libre,2011,C,Valle del Cauca,Cali,Otros Temas de Medicina Clínica,Medicina Clínica,Ciencias Médicas y de la Salud,UNIVERSIDAD LIBRE DE COLOMBIA,Universidades,Privado
1900-6586,,,"Revista Científica ""General José María Córdova""",2013,B,"Bogotá, D. C.","Bogotá, D.C.",Otras Ciencias Sociales,Otras Ciencias Sociales,Ciencias Sociales,ESCUELA MILITAR DE CADETES GENERAL JOSE MARIA CORDOVA,Universidades,Público
0123-9678,,,Ventana Informática,2010,C,Caldas,Manizales,Ciencias de la Computación,Computación y Ciencias de la Información,Ciencias Naturales,UNIVERSIDAD DE MANIZALES UMANIZALES,Universidades,Privado
1909-4450,,,Revista Republicana,2013,A2,"Bogotá, D. C.","Bogotá, D.C.",Otras Ciencias Sociales,Otras Ciencias Sociales,Ciencias Sociales,CORPORACION UNIVERSITARIA REPUBLICANA,Universidades,Privado
1794-8886,,,Memorias,2010,B,Atlántico,Barranquilla,No registra,Otras Ciencias Sociales,Ciencias Sociales,FUNDACION UNIVERSIDAD DEL NORTE,Universidades,Privado
,2027-1557,,Luciernaga : Revista Virtual,2011,C,Antioquia,Medellín,Medios y Comunicación Social,Periodismo y Comunicaciones,Ciencias Sociales,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,Universidades,Público
1794-3841,,,Hallazgos,2013,B,"Bogotá, D. C.","Bogotá, D.C.","Ciencias Sociales, Interdisciplinaria",Otras Ciencias Sociales,Ciencias Sociales,UNIVERSIDAD SANTO TOMAS,Universidades,Privado
2011-7922,,,International Journal Of Psychological Research,2011,B,Antioquia,Medellín,"Psicología (Incluye Terapias de Aprendizaje, Habla, Visual y Otras Discapacidades Físicas y Mentales)",Psicología,Ciencias Sociales,UNIVERSIDAD DE SAN BUENAVENTURA CALI,Universidades,Privado
0123-1022,,,Folios,2012,C,No disponible,No disponible,No registra,Ciencias Políticas,Ciencias Sociales,UNIVERSIDAD DE ANTIOQUIA,Universidades,Público
2011-0472,2422-2186,,Quaestiones Disputatae,2011,C,Boyacá,Tunja,Filosofía,Otras Humanidades,Humanidades,UNIVERSIDAD SANTO TOMAS,Universidades,Privado
1794-7561,2463-1035,,Revista De Economía & Administración,2012,C,Valle del Cauca,Cali,Economía,Economía y Negocios,Ciencias Sociales,UNIVERSIDAD DE SAN BUENAVENTURA CALI,Universidades,Privado
2145-4892,2256-1102,,Revista De Psicología Universidad De Antioquia,2011,C,Antioquia,Medellín,"Psicología (Incluye Terapias de Aprendizaje, Habla, Visual y Otras Discapacidades Físicas y Mentales)",Psicología,Ciencias Sociales,UNIVERSIDAD DE ANTIOQUIA,Universidades,Público
2027-1433,,,Gestión & Sociedad,2012,C,"Bogotá, D. C.","Bogotá, D.C.",No registra,Ciencias Biológicas,Ciencias Naturales,UNIVERSIDAD DE LA SALLE,Universidades,Privado
