TXT_ISSN_P,TXT_ISSN_E,TXT_ISSN_L,NME_REVISTA_IN,NRO_ANO,ID_CLAS_REV,DEP_REV_IN,MUN_REV_IN,NME_ESPECIALIDAD,NME_AREA,NME_GRAN_AREA,NME_INST_EDIT_1,TIPO_INS_N2_E1,TIPO_INS_N3_E1
2027-8306,,,"Revista De Investigacion, Desarrollo E Innovacion",2019,B,Boyacá,Duitama,No registra,Otras Ciencias Sociales,Ciencias Sociales,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA,Universidades,Público
0120-789X,,,Revista Urologia Colombiana,2016,B,"Bogotá, D. C.","Bogotá, D.C.",Otros Temas de Medicina Clínica,Medicina Clínica,Ciencias Médicas y de la Salud,SOCIEDAD COLOMBIANA DE UROLOGIA,Entidades sin ánimo de lucro,Privado
1909-5759,,,Revista Via Iuris,2015,C,"Bogotá, D. C.","Bogotá, D.C.",No registra,Derecho,Ciencias Sociales,FUNDACION UNIVERSITARIA LOS LIBERTADORES,Universidades,Privado
0124-7441,,2590-4566,Justicia,2021,B,Atlántico,Barranquilla,Derecho,Derecho,Ciencias Sociales,UNIVERSIDAD SIMON BOLIVAR,Universidades,Privado
1794-7111,,,Kepes,2019,A1,Caldas,Manizales,No registra,Arte,Humanidades,UNIVERSIDAD DE CALDAS,Universidades,Público
0120-3592,,,Cuadernos De Administración,2020,C,"Bogotá, D. C.","Bogotá, D.C.",Negocios y Management,Economía y Negocios,Ciencias Sociales,PONTIFICIA UNIVERSIDAD JAVERIANA,Universidades,Privado
0121-7550,,,Nomadas,2016,A2,"Bogotá, D. C.","Bogotá, D.C.",Sociología,Sociología,Ciencias Sociales,UNIVERSIDAD CENTRAL,Universidades,Privado
1909-7786,,,"Revista De Derecho, Comunicaciones Y Nuevas Tecnologias",2016,B,"Bogotá, D. C.","Bogotá, D.C.",Derecho,Derecho,Ciencias Sociales,UNIVERSIDAD DE LOS ANDES,Universidades,Privado
1692-2522,,2248-4086,Anagramas : Rumbos Y Sentidos De La Comunicación,2022,C,No disponible,No disponible,Medios y Comunicación Social,Periodismo y Comunicaciones,Ciencias Sociales,UNIVERSIDAD DE MEDELLIN,Universidades,Privado
0121-182X,,,Prolegomenos : Derechos Y Valores,2020,C,"Bogotá, D. C.","Bogotá, D.C.",Derecho,Derecho,Ciencias Sociales,UNIVERSIDAD MILITAR NUEVA GRANADA,Universidades,Público
1794-7154,,,"Saber, Ciencia Y Libertad",2019,B,Bolívar,Cartagena de Indias,Derecho,Derecho,Ciencias Sociales,UNIVERSIDAD LIBRE DE COLOMBIA,Universidades,Privado
0120-6346,,,Semestre Económico,2020,C,Antioquia,Medellín,Economía,Economía y Negocios,Ciencias Sociales,UNIVERSIDAD DE MEDELLIN,Universidades,Privado
1657-0790,,,Profile,2020,B,"Bogotá, D. C.","Bogotá, D.C.",No registra,Ciencias de la Educación,Ciencias Sociales,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
1794-6670,,,"Cuadernos De Música, Artes Visuales Y Artes Escénicas",2017,C,"Bogotá, D. C.","Bogotá, D.C.",Artes plásticas y visuales,Arte,Humanidades,PONTIFICIA UNIVERSIDAD JAVERIANA,Universidades,Privado
0120-856X,,,Revista Colombiana De Cirugía,2008,B,No disponible,No disponible,No registra,Medicina Clínica,Ciencias Médicas y de la Salud,SOCIEDAD COLOMBIANA DE CIRUGIA,Entidades sin ánimo de lucro,Público
2011-7531,,2011-7531,Salud Uninorte,2022,C,Atlántico,Barranquilla,No registra,Ciencias de la Salud,Ciencias Médicas y de la Salud,FUNDACION UNIVERSIDAD DEL NORTE,Universidades,Privado
,2011-799X,,Mutatis Mutandis. Revista Latinoamericana De Traducción.,2016,C,Antioquia,Medellín,Estudios Generales del Lenguaje,Idiomas y Literatura,Humanidades,UNIVERSIDAD DE ANTIOQUIA,Universidades,Público
1794-7111,,,Kepes,2011,B,Caldas,Manizales,No registra,Arte,Humanidades,UNIVERSIDAD DE CALDAS,Universidades,Público
2011-2173,,,Revista Colombiana De Ciencias Hortícolas,2020,B,"Bogotá, D. C.","Bogotá, D.C.",Otras Ciencias Agrícolas,Otras Ciencias Agrícolas,Ciencias Agrícolas,SOCIEDAD COLOMBIANA DE CIENCIAS HORTICOLAS,Entidades sin ánimo de lucro,Privado
1657-6357,,,Sociedad Y Economía,2019,B,Valle del Cauca,Cali,No registra,Otras Ciencias Sociales,Ciencias Sociales,UNIVERSIDAD DEL VALLE,Universidades,Público
1692-3375,,,Umbral Científico,2012,C,"Bogotá, D. C.","Bogotá, D.C.",No registra,Otras Ciencias Naturales,Ciencias Naturales,UNIVERSIDAD MANUELA BELTRAN,Universidades,Privado
0124-406X,2382-4921,,Rastros Rostros,2016,C,Santander,Bucaramanga,"Educación General (Incluye Capacitación, Pedagogía)",Ciencias de la Educación,Ciencias Sociales,CORPORACION CLINICA UNIVERSIDAD COOPERATIVA DE COLOMBIA,Organizaciones no gubernamentales,Privado
0123-0999,,,Pensamiento Y Cultura,2011,B,Cundinamarca,Chía,Filosofía,Otras Humanidades,Humanidades,UNIVERSIDAD DE LA SABANA,Universidades,Privado
2145-3381,,,Criterio Juridico Garantista,2015,C,"Bogotá, D. C.","Bogotá, D.C.",No registra,Derecho,Ciencias Sociales,UNIVERSIDAD AUTONOMA DE COLOMBIA,Universidades,Privado
1657-480X,,,Boletín Del Observatorio Colombiano De Energía,2008,C,"Bogotá, D. C.","Bogotá, D.C.",No registra,Ingeniería Ambiental,Ingeniería y Tecnología,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
0121-7577,,,Hacia La Promoción De La Salud,2019,B,Caldas,Manizales,Salud Pública,Ciencias de la Salud,Ciencias Médicas y de la Salud,UNIVERSIDAD DE CALDAS,Universidades,Público
0123-5923,,,Estudios Gerenciales,2004,C,Valle del Cauca,Cali,Economía,Economía y Negocios,Ciencias Sociales,UNIVERSIDAD ICESI,Universidades,Privado
1657-0308,2357-626X,,Revista De Arquitectura,2016,B,"Bogotá, D. C.","Bogotá, D.C.",Arquitectura y Urbanismo,Arte,Humanidades,UNIVERSIDAD CATOLICA DE COLOMBIA,Universidades,Privado
2027-9035,,,Historia 2.0,2015,B,Santander,Bucaramanga,Historia,Historia y Arqueología,Humanidades,ASOCIACION HISTORIA ABIERTA,Entidades sin ánimo de lucro,Privado
0123-3769,,,Perspectiva Geográfica,2015,B,"Bogotá, D. C.","Bogotá, D.C.",No registra,Otras Humanidades,Humanidades,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA,Universidades,Público
2011-7574,,,Investigación & Desarrollo,2019,C,Atlántico,Barranquilla,No registra,Otras Humanidades,Humanidades,FUNDACION UNIVERSIDAD DEL NORTE,Universidades,Privado
0124-5376,,,Biota Colombiana,2019,C,"Bogotá, D. C.","Bogotá, D.C.",No registra,Ciencias Biológicas,Ciencias Naturales,INSTITUTO DE INVESTIGACION DE RECURSOS BIOLOGICOS ALEXANDER VON HUMBOLDT,Centros o institutos de investigación,Público
0120-3347,,2145-4604,Revista Colombiana De Anestesiología,2022,C,"Bogotá, D. C.","Bogotá, D.C.",Anestesiología,Medicina Clínica,Ciencias Médicas y de la Salud,SOCIEDAD COLOMBIANA DE ANESTESIOLOGIA Y REANIMACION S C A R E,Entidades sin ánimo de lucro,Privado
0121-0319,,,Médicas Uis,2016,B,Santander,Bucaramanga,Otras Ciencias Médicas,Otras Ciencias Médicas,Ciencias Médicas y de la Salud,UNIVERSIDAD INDUSTRIAL DE SANTANDER,Universidades,Público
2011-642X,,,Revista Ingenio Ufpso,2015,C,Norte de Santander,Ocaña,No registra,"Ingenierías Eléctrica, Electrónica e Informática",Ingeniería y Tecnología,UNIVERSIDAD FRANCISCO DE PAULA SANTANDER,Universidades,Público
0122-8102,,2346-1691,Cuadernos De Literatura,2022,C,No disponible,No disponible,No registra,Idiomas y Literatura,Humanidades,PONTIFICIA UNIVERSIDAD JAVERIANA,Universidades,Privado
0121-3474,,,Verba Iuris,2014,C,"Bogotá, D. C.","Bogotá, D.C.",No registra,Derecho,Ciencias Sociales,UNIVERSIDAD LIBRE DE COLOMBIA,Universidades,Privado
0123-8574,,,Asfaltos Y Pavimentos,2013,C,Santander,Piedecuesta,No registra,Otras Ingenierías y Tecnologías,Ingeniería y Tecnología,CONASFALTO,Grande,Privado
0122-9761,,,Boletín De Investigaciones Marinas Y Costeras,2019,B,Magdalena,Santa Marta,"Oceanografía, Hidrología y Recursos del Agua",Ciencias de la Tierra y Medioambientales,Ciencias Naturales,INSTITUTO DE INVESTIGACIONES MARINAS Y COSTERAS JOSE BENITO VIVES DE ANDREIS INVEMAR,Centros o institutos de investigación,Público
1900-7922,2500-6738,,La Manzana De La Discordia,2013,C,Valle del Cauca,Cali,No registra,Otras Ciencias Sociales,Ciencias Sociales,UNIVERSIDAD DEL VALLE,Universidades,Público
2011-0324,,,Cs,2017,B,Valle del Cauca,Cali,No registra,Derecho,Ciencias Sociales,UNIVERSIDAD ICESI,Universidades,Privado
0120-4211,,,Bistua : Revista  De La Facultad De Ciencias Básicas,2016,B,No disponible,No disponible,Química Física,Ciencias Químicas,Ciencias Naturales,UNIVERSIDAD DE PAMPLONA,Universidades,Público
